Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name,FLAG
-0.19746466047395828,-0.2994358265999757,1.5064105236774072,0.7990992677817692,-0.0794024644308617,-0.026369800312643746,0.032280205424817014,0.3493456943058032,-0.13453041172348001,-0.03669586433027018,-0.03262631469932347,-0.03463202114446468,-0.0427519393630536,-0.1821868166868041,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,0.3894283015411184,-0.025942270058072613,-0.03034670146139756,-0.014978510779808272,-0.007246389172539419,0.5411312392111681,-0.008241700751466645,0.020276664183877347,-0.01732329017066747,0.24657311536677942,0.6006282540513507,-0.050101897537643374,3.231473707316345,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.009887740095721022,-0.018128827053825736,-0.01066510647734252,0.004333881120193715,-0.00974289621167426,0.0,0.0,0.0,5.844163037501018,3.282967103509112,0
0.3547604703938944,-0.21864352991780583,3.0963668198909735,-0.028964692443238807,-0.165500433026424,-0.026369800312643746,-0.08493112683494862,-0.04488189576525356,-0.13453041172348001,-0.040016358089731224,-0.03477679595336204,-0.03463202114446468,-0.04719009762813124,-0.18707177272036238,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.13411049887936827,-0.02834973014558228,-0.03194857733548232,-0.014978510779808272,-0.006094543033016003,-0.058832655397517364,-0.011770714758497116,-0.011243880143517088,-0.01732329017066747,-0.041329899204081436,-0.02500541833068001,-0.050101897537643374,0.151638138065359,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011375310241462721,-0.019424755589795558,-0.010662863977028406,-0.010573234231835305,-0.010223079847344349,0.0,0.0,0.0,-0.041550882044508165,0.16108420855597055,0
11.221899870560614,-0.241364833391265,0.9240512822401115,-0.1504669003231443,-0.16337455725863234,-0.026369800312643746,-0.06818665079783924,-0.09036969461960627,-0.13418332785134332,-0.040127658683849286,-0.03478607856685518,-0.03427127765221863,-0.04692781846531016,-0.17970372889687014,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.2006620413057013,-0.028348331004286825,-0.03194719458581527,-0.014978510779808272,-0.006094533710867369,-0.058832655397517364,-0.011770703048999038,-0.01124388214507903,-0.01732329017066747,-0.05125758936169733,0.0005306499298110413,-0.050101897537643374,0.2120270707957705,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011375302523776875,-0.01942471871034171,-0.01066510647734252,-0.010573236234220688,-0.010223083841798817,0.0,0.0,0.0,-0.19643809045360097,0.22352186645503339,0
0.2388927998166502,0.3370908188824782,0.5550037164203203,-0.12009134835316793,-0.16443749514252817,-0.026369800312643746,-0.07823333642010487,-0.04867254566978295,-0.13453041172348001,-0.0017798427682133367,-0.00042389689755668565,-0.03463202114446468,0.020423176824887045,0.10560215340329906,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.18439388649037544,-0.023474104698131885,-0.029498418834526495,-0.014978510779808272,-0.009620113494573729,-0.04482571622377374,-0.011769057986405568,-0.011233778557372783,-0.01732329017066747,-0.03140220904646555,0.051602786450793144,-0.050101897537643374,0.3931938689870049,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011374214646099721,-0.01941744490939896,-0.010565916306296956,-0.010565239097118786,-0.01021636270262098,0.0,0.0,0.0,-0.041550882044508165,0.4108348401522219,0
-0.23505520148939987,0.117108116941546,0.5082942864796497,5.9193607889817,-0.15274517841967403,-0.019299584399480953,-0.07823333642010487,-0.025928646242606598,-0.13453041172348001,-0.039233069634462554,-0.03398458647192699,-0.03463202114446468,-0.04610394060880565,-0.1871142543453467,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,3.206037469340036,-0.02806720066514187,-0.03181036120078451,-0.014978510779808272,-0.006304495244070478,0.020539999920363202,-0.01175460814420733,-0.011134508563149388,-0.01732329017066747,-0.011546828731233763,0.2048191960137394,-0.050101897537643374,1.3594167926735887,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011366420801818785,-0.01940095504056877,-0.01066510647734252,-0.010533379995927572,-0.01019883123343695,0.0,0.0,0.0,0.7328851600009557,1.4098373665372272,0
0.224023207736401,-0.33055424655677096,-0.6113144121017045,-0.1504669003231443,-0.17081512244590316,-0.026369800312643746,-0.09497781245721425,-0.09416034452413566,-0.13230850300929367,-0.039847194510615545,-0.03378914757721822,-0.004569101474647654,-0.04662636463590483,-0.16691427512857365,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.205838272383305,-0.028331264235334625,-0.03193040189552138,-0.014978510779808272,-0.006094531371884916,-0.07750857429584221,-0.011770754763513578,-0.01124388214507903,-0.01732329017066747,-0.05125758936169733,-0.08884558898190763,-0.050101897537643374,-0.27108439104752136,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011375346439883763,-0.01942503686938011,-0.01066510647734252,-0.010573236234220688,-0.010223083841798817,0.0,0.0,0.0,-0.19643809045360097,-0.2759793967374693,0
-0.23352626039813848,-0.31955103876507784,-0.6492998956747357,-0.12009134835316793,-0.1623116193747365,-0.026369800312643746,-0.07153554600526112,-0.022137996338077205,-0.13438006465769356,-0.04001353440072478,-0.03452984078958015,-0.03456379012034126,-0.04681525503517778,-0.18519091927043613,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.18291496332534582,-0.028324681347863895,-0.03192388176462191,-0.014978510779808272,-0.006094465930307529,-0.07750857429584221,-0.011770754763513578,-0.01124388214507903,-0.01732329017066747,-0.05125758936169733,-0.08884558898190763,-0.050101897537643374,-0.27108439104752136,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011375346439883763,-0.01942503686938011,-0.01066510647734252,-0.010573236234220688,-0.010223083841798817,0.0,0.0,0.0,-0.19643809045360097,-0.2759793967374693,0
-0.16706596047592032,-0.3391606302224739,0.31430173226189334,0.12819577209707372,-0.1686892466781115,-0.026369800312643746,-0.09162891724979237,-0.08657904471507687,-0.13416684797194864,-0.04006350303360129,-0.03460160070583948,-0.03463202114446468,-0.04735603828386154,-0.18703823833797764,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.048332955307650104,-0.02833405606097072,-0.03194481549257146,-0.014978510779808272,-0.006112058932566972,-0.06116714525980797,-0.011770715301545595,-0.01124388214507903,-0.01732329017066747,-0.05125758936169733,-0.02500541833068001,-0.050101897537643374,0.151638138065359,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011375310241462721,-0.01942475940802561,-0.01066510647734252,-0.010573236234220688,-0.010223083841798817,0.0,0.0,0.0,-0.19643809045360097,0.16108420855597055,0
-0.23675914466599282,-0.34682249534250464,-0.6745807442912055,-0.15178757649575197,-0.17294099821369482,-0.026369800312643746,-0.09832670766463612,-0.09416034452413566,-0.1283937967934206,-0.04006350303360129,-0.03421721336248214,-0.020206754673926436,-0.04716002013000442,-0.1788459313585888,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.20805665713084942,-0.028352766437348874,-0.03195155789324627,-0.014978510779808272,-0.006094532972458446,-0.07750857429584221,-0.011770754763513578,-0.01124388214507903,-0.01732329017066747,-0.05125758936169733,-0.08884558898190763,-0.050101897537643374,-0.27108439104752136,0.0,0.0,0.0,0.0,-0.027525483819507802,-0.011375346439883763,-0.01942503686938011,-0.01066510647734252,-0.010573236234220688,-0.010223083841798817,0.0,0.0,0.0,-0.19643809045360097,-0.2759793967374693,0
-0.11711589718393509,-0.20228472866599628,-0.5814433150209043,-0.14254284328749828,-0.17081512244590316,-0.026369800312643746,-0.09497781245721425,-0.08278839481054748,-0.13422358097697704,-0.037142259880820684,-0.029121637786504374,-0.033910534159972576,-0.041427431220042665,-0.10926221339754624,-0.013525594352095785,-0.014978491755865487,-0.01665664799114053,-0.20140150288821612,-0.027942284242065296,-0.03181948262240497,-0.014978510779808272,-0.006502834412324694,-0.0751740844335516,-0.011770695265928615,-0.01124388214507903,-0.01732329017066747,-0.05125758936169733,-0.07607755485166211,-0.050101897537643374,-0.2106954583171099,0.0,0.0,0.0,0.0,0.009611997542069102,-0.011375286935629995,-0.019422108531828016,-0.01066510647734252,-0.010573236234220688,-0.010223083841798817,0.0,0.0,0.0,-0.19643809045360097,-0.21354173883840646,0
